# Export CSV from Simcenter Amesim 2304 (encoding="UTF - 8 - BOM")
"Time - load=0.86 kg ""1""","liquid volume percentage - load=0.86 kg ""1""","liquid volume percentage - load=0.817 kg ""2""","liquid volume percentage - load=0.774 kg ""3""","liquid volume percentage - load=0.688 kg ""5""","liquid volume percentage - load=0.645 kg ""6""","liquid volume percentage - load=0.602 kg ""7""","liquid volume percentage - load=0.559 kg ""8""","liquid volume percentage - load=0.516 kg ""9""","liquid volume percentage - load=0.473 kg ""10""","liquid volume percentage - load=0.43 kg ""11"""
"s","%","%","%","%","%","%","%","%","%","%"
6.85000000000000e+03,8.95001974190074e+01,8.83655076176250e+01,7.99334473144767e+01,6.30693147533863e+01,5.46372484797498e+01,4.62051822110768e+01,3.77731159364815e+01,2.93410496655758e+01,2.09089833939037e+01,1.24769171241428e+01
6.86000000000000e+03,8.95001974190073e+01,8.83655078117195e+01,7.99334473491647e+01,6.30693147879163e+01,5.46372485140211e+01,4.62051822449596e+01,3.77731159701431e+01,2.93410496988882e+01,2.09089834269097e+01,1.24769171567893e+01
6.87000000000000e+03,8.95001974190074e+01,8.83655079996248e+01,7.99334473829412e+01,6.30693148215435e+01,5.46372485473911e+01,4.62051822779513e+01,3.77731160028989e+01,2.93410497313273e+01,2.09089834590486e+01,1.24769171885772e+01
6.88000000000000e+03,8.95001974190074e+01,8.83655081825646e+01,7.99334474158281e+01,6.30693148542789e+01,5.46372485801101e+01,4.62051823102989e+01,3.77731160347977e+01,2.93410497629149e+01,2.09089834903422e+01,1.24769172195288e+01
6.89000000000000e+03,8.95001974190074e+01,8.83655083606665e+01,7.99334474478502e+01,6.30693148861550e+01,5.46372486116704e+01,4.62051823414998e+01,3.77731160658584e+01,2.93410497936728e+01,2.09089835208123e+01,1.24769172496662e+01
6.90000000000000e+03,8.95001974190073e+01,8.83655085340622e+01,7.99334474790302e+01,6.30693149171935e+01,5.46372486424488e+01,4.62051823719244e+01,3.77731160961025e+01,2.93410498236220e+01,2.09089835504811e+01,1.24769172790106e+01
6.91000000000000e+03,8.95001974190074e+01,8.83655087028681e+01,7.99334475093899e+01,6.30693149474158e+01,5.46372486724220e+01,4.62051824015575e+01,3.77731161255519e+01,2.93410498527836e+01,2.09089835793693e+01,1.24769173075828e+01
6.92000000000000e+03,8.95001974190074e+01,8.83655088672101e+01,7.99334475389517e+01,6.30693149768436e+01,5.46372487016135e+01,4.62051824304176e+01,3.77731161542268e+01,2.93410498811781e+01,2.09089836074977e+01,1.24769173354239e+01
6.93000000000000e+03,8.95001974190073e+01,8.83655090272046e+01,7.99334475677351e+01,6.30693150054977e+01,5.46372487300419e+01,4.62051824585244e+01,3.77731161821475e+01,2.93410499088258e+01,2.09089836348860e+01,1.24769173625000e+01
6.94000000000000e+03,8.95001974190074e+01,8.83655091829662e+01,7.99334475957614e+01,6.30693150333983e+01,5.46372487577263e+01,4.62051824858930e+01,3.77731162093340e+01,2.93410499357462e+01,2.09089836615536e+01,1.24769173888717e+01
6.95000000000000e+03,8.95001974190074e+01,8.83655093354435e+01,7.99334476230504e+01,6.30693150605651e+01,5.46372487846850e+01,4.62051825125584e+01,3.77731162358055e+01,2.93410499619584e+01,2.09089836875198e+01,1.24769174145514e+01
6.96000000000000e+03,8.95001974190073e+01,8.83655094838648e+01,7.99334476496213e+01,6.30693150870288e+01,5.46372488109366e+01,4.62051825385025e+01,3.77731162615810e+01,2.93410499874806e+01,2.09089837128031e+01,1.24769174395566e+01
6.97000000000000e+03,8.95001974190074e+01,8.83655096267579e+01,7.99334476754935e+01,6.30693151127783e+01,5.46372488364988e+01,4.62051825637704e+01,3.77731162866784e+01,2.93410500124389e+01,2.09089837374209e+01,1.24769174639041e+01
6.98000000000000e+03,8.95001974190074e+01,8.83655097674321e+01,7.99334477006849e+01,6.30693151378544e+01,5.46372488613891e+01,4.62051825883752e+01,3.77731163111157e+01,2.93410500365753e+01,2.09089837616499e+01,1.24769174876117e+01
6.99000000000000e+03,8.95001974190074e+01,8.83655099036308e+01,7.99334477252137e+01,6.30693151622721e+01,5.46372488856317e+01,4.62051826123339e+01,3.77731163349100e+01,2.93410500601099e+01,2.09089837848784e+01,1.24769175106957e+01
7.00000000000000e+03,8.95001974190074e+01,8.83655100362001e+01,7.99334477490977e+01,6.30693151860687e+01,5.46372489092262e+01,4.62051826356631e+01,3.77731163583346e+01,2.93410500830359e+01,2.09089838075614e+01,1.24769175331730e+01
7.01000000000000e+03,8.95001974190074e+01,8.83655101645646e+01,7.99334477723532e+01,6.30693152092069e+01,5.46372489322025e+01,4.62051826583789e+01,3.77731163807844e+01,2.93410501053630e+01,2.09089838296650e+01,1.24769175550588e+01
7.02000000000000e+03,8.95001974190074e+01,8.83655102895494e+01,7.99334477949968e+01,6.30693152317448e+01,5.46372489545747e+01,4.62051826804972e+01,3.77731164027054e+01,2.93410501271064e+01,2.09089838511957e+01,1.24769175763825e+01
7.03000000000000e+03,8.95001974190074e+01,8.83655104112494e+01,7.99334478170453e+01,6.30693152536920e+01,5.46372489763585e+01,4.62051827020330e+01,3.77731164240681e+01,2.93410501482803e+01,2.09089838721620e+01,1.24769175971244e+01
7.04000000000000e+03,8.95001974190074e+01,8.83655105304039e+01,7.99334478385135e+01,6.30693152750628e+01,5.46372489975694e+01,4.62051827230033e+01,3.77731164448758e+01,2.93410501688994e+01,2.09089838925815e+01,1.24769176173256e+01
7.05000000000000e+03,8.95001974190074e+01,8.83655106462426e+01,7.99334478594168e+01,6.30693152958721e+01,5.46372490182240e+01,4.62051827434628e+01,3.77731164651414e+01,2.93410501889772e+01,2.09089839124675e+01,1.24769176369962e+01
7.06000000000000e+03,8.95001974190074e+01,8.83655107584878e+01,7.99334478797704e+01,6.30693153161342e+01,5.46372490383325e+01,4.62051827633202e+01,3.77731164848781e+01,2.93410502085278e+01,2.09089839318323e+01,1.24769176561500e+01
7.07000000000000e+03,8.95001974190074e+01,8.83655108678267e+01,7.99334478995889e+01,6.30693153358641e+01,5.46372490579127e+01,4.62051827826681e+01,3.77731165040986e+01,2.93410502275646e+01,2.09089839506892e+01,1.24769176748004e+01
7.08000000000000e+03,8.95001974190074e+01,8.83655109743008e+01,7.99334479188863e+01,6.30693153550750e+01,5.46372490769783e+01,4.62051828015110e+01,3.77731165228157e+01,2.93410502462825e+01,2.09089839690508e+01,1.24769176929607e+01
7.09000000000000e+03,8.95001974190074e+01,8.83655110779801e+01,7.99334479376762e+01,6.30693153737808e+01,5.46372490955420e+01,4.62051828198601e+01,3.77731165410417e+01,2.93410502642556e+01,2.09089839869302e+01,1.24769177106435e+01
7.10000000000000e+03,8.95001974190073e+01,8.83655111794946e+01,7.99334479559717e+01,6.30693153919949e+01,5.46372491136188e+01,4.62051828398626e+01,3.77731165587891e+01,2.93410502817996e+01,2.09089840043388e+01,1.24769177278611e+01
7.11000000000000e+03,8.95001974190074e+01,8.83655112777910e+01,7.99334479738692e+01,6.30693154097298e+01,5.46372491312181e+01,4.62051828559792e+01,3.77731165760704e+01,2.93410502988908e+01,2.09089840212900e+01,1.24769177446260e+01
7.12000000000000e+03,8.95001974190074e+01,8.83655113734957e+01,7.99334479912936e+01,6.30693154269982e+01,5.46372491483552e+01,4.62051828725083e+01,3.77731165928971e+01,2.93410503157141e+01,2.09089840377953e+01,1.24769177609499e+01
7.13000000000000e+03,8.95001974190074e+01,8.83655114666875e+01,7.99334480081944e+01,6.30693154438122e+01,5.46372491650412e+01,4.62051828888116e+01,3.77731166092812e+01,2.93410503318523e+01,2.09089840538660e+01,1.24769177768442e+01
7.14000000000000e+03,8.95001974190074e+01,8.83655115574281e+01,7.99334480246353e+01,6.30693154601842e+01,5.46372491812886e+01,4.62051829046854e+01,3.77731166252342e+01,2.93410503476152e+01,2.09089840695138e+01,1.24769177925542e+01
7.15000000000000e+03,8.95001974190074e+01,8.83655116457825e+01,7.99334480406436e+01,6.30693154761251e+01,5.46372491971088e+01,4.62051829202091e+01,3.77731166407676e+01,2.93410503629715e+01,2.09089840847500e+01,1.24769178075117e+01
7.16000000000000e+03,8.95001974190074e+01,8.83655117318144e+01,7.99334480562310e+01,6.30693154916469e+01,5.46372492125126e+01,4.62051829353712e+01,3.77731166558920e+01,2.93410503779318e+01,2.09089840995851e+01,1.24769178221423e+01
7.17000000000000e+03,8.95001974190074e+01,8.83655118159551e+01,7.99334480714086e+01,6.30693155067606e+01,5.46372492275112e+01,4.62051829501675e+01,3.77731166706186e+01,2.93410503925045e+01,2.09089841140297e+01,1.24769178364049e+01
7.18000000000000e+03,8.95001974190074e+01,8.83655118974362e+01,7.99334480861869e+01,6.30693155214766e+01,5.46372492421291e+01,4.62051829645971e+01,3.77731166849575e+01,2.93410504066978e+01,2.09089841280943e+01,1.24769178502988e+01
7.19000000000000e+03,8.95001974190074e+01,8.83655119772599e+01,7.99334481005763e+01,6.30693155358055e+01,5.46372492563410e+01,4.62051829786619e+01,3.77731166989191e+01,2.93410504205204e+01,2.09089841417888e+01,1.24769178638326e+01
7.20000000000000e+03,8.95001974190074e+01,8.83655120545553e+01,7.99334481145873e+01,6.30693155497576e+01,5.46372492701841e+01,4.62051829923656e+01,3.77731167125731e+01,2.93410504339813e+01,2.09089841551232e+01,1.24769178770144e+01
7.21000000000000e+03,8.95001974190074e+01,8.83655121298238e+01,7.99334481282298e+01,6.30693155633427e+01,5.46372492836640e+01,4.62051830057135e+01,3.77731167257759e+01,2.93410504470892e+01,2.09089841681068e+01,1.24769178898526e+01
7.22000000000000e+03,8.95001974190074e+01,8.83655122039299e+01,7.99334481415136e+01,6.30693155765704e+01,5.46372492967899e+01,4.62051830187121e+01,3.77731167386499e+01,2.93410504598526e+01,2.09089841807488e+01,1.24769179023550e+01
7.23000000000000e+03,8.95001974190074e+01,8.83655122748944e+01,7.99334481544476e+01,6.30693155894501e+01,5.46372493095710e+01,4.62051830313692e+01,3.77731167511911e+01,2.93410504722803e+01,2.09089841932349e+01,1.24769179145301e+01
7.24000000000000e+03,8.95001974190074e+01,8.83655123442199e+01,7.99334481670419e+01,6.30693156019913e+01,5.46372493220163e+01,4.62051830436916e+01,3.77731167634044e+01,2.93410504843822e+01,2.09089842051397e+01,1.24769179263855e+01
7.25000000000000e+03,8.95001974190074e+01,8.83655124118046e+01,7.99334481793089e+01,6.30693156142024e+01,5.46372493341344e+01,4.62051830556886e+01,3.77731167752987e+01,2.93410504961932e+01,2.09089842167775e+01,1.24769179379294e+01
7.26000000000000e+03,8.95001974190074e+01,8.83655124776356e+01,7.99334481912493e+01,6.30693156260926e+01,5.46372493459340e+01,4.62051830673683e+01,3.77731167868814e+01,2.93410505076479e+01,2.09089842281186e+01,1.24769179491699e+01
