h_eva_in[kJ/kg],P_dis[bar],P_gc_out[bar],Q_heat_s1[kW],T_air_in[degC],Q_heat_s2[kW],h_gc_mid[kJ/kg],T_eva_out[degC],T_mid[degC],W_comp[kW],P_gc_mid[bar],h_dis[kJ/kg],h_gc_out[kJ/kg],P_suc[bar],T_dis[degC],T_eva_in[degC],P_eva_out[bar],T_suc[degC],label,condition
435.82173208052046,136.43591535500457,11.732585616329857,2.3276886461307646,23.16589415636849,4.552860046586132,222.95087117229437,2.121517852813241,45.28816405931264,2.2251714004553675,47.498821073274144,395.15625464808943,277.4086866368692,-28.287102796517303,92.66313448187444,16.15376982477819,-26.23053025444824,92.84986426139069,0,0pct
435.8217320805199,136.435915355004,11.732585616333948,2.3276886461307766,23.16589415636849,4.5528600465861295,222.95087117229383,2.1215178528132026,45.28816405931264,2.225171400455353,47.498821073274144,395.15625464808943,277.408686636868,-28.28710279651688,92.6631344818744,16.153769824778205,-26.230530254448208,92.84986426139064,0,0pct
435.82173208052,136.4359153550041,11.7325856163327,2.327688647778444,23.16589415636861,4.552860049808924,222.950871172296,2.121517854314937,45.28816405931258,2.22517140203048,47.49882107327369,395.15625464808977,277.408686636871,-28.287102796514887,92.66313448187437,16.15376982477819,-26.23053025444824,92.84986426139064,0,0pct
435.8217320805216,136.4359153550053,11.732585616331676,2.32768864613076,23.165894156368665,4.5528600465861215,222.95087117229528,2.121517852813216,45.28816405931264,2.2251714004553618,47.4988210732738,395.15625464809006,277.4086866368661,-28.287102796516336,92.66313448187444,16.153769824778205,-26.230530254448208,92.84986426139072,0,0pct
435.82173208052046,136.43591535500406,11.732585616332472,2.327688646130801,23.16589415636872,4.552860046586149,222.95087117229272,2.121517852813185,45.28816405931264,2.225171400455348,47.49882107327369,395.1562546480902,277.4086866368698,-28.2871027965156,92.6631344818744,16.1537698247782,-26.230530254448208,92.84986426139069,0,0pct
435.82173208052166,136.43591535500627,11.732585616332583,2.3276886461307806,23.165894156368665,4.5528600465861695,222.95087117229295,2.1215178528132266,45.28816405931274,2.2251714004553893,47.49882107327409,395.1562546480894,277.4086866368699,-28.287102796514603,92.66313448187464,16.1537698247782,-26.230530254448208,92.84986426139089,0,0pct
435.8217320805216,136.43591535500366,11.732585616333663,2.327688647778477,23.16589415636872,4.552860049808936,222.95087117229528,2.1215178543149578,45.28816405931274,2.22517140203046,47.4988210732746,395.15625464809096,277.408686636866,-28.28710279651696,92.66313448187458,16.153769824778212,-26.230530254448183,92.84986426139086,0,0pct
435.8217320805199,136.4359153550064,11.732585616334518,2.327688649426141,23.16589415636861,4.552860053031768,222.95087117229647,2.121517855816736,45.28816405931274,2.2251714036056267,47.49882107327437,395.15625464809074,277.408686636868,-28.28710279651509,92.66313448187448,16.15376982477819,-26.23053025444824,92.84986426139075,0,0pct
435.82173208052086,136.43591535500354,11.73258561633378,2.3276886477784577,23.165894156368665,4.552860049808924,222.950871172296,2.121517854314951,45.288164059312685,2.225171402030466,47.49882107327454,395.1562546480904,277.40868663686894,-28.287102796516507,92.66313448187456,16.153769824778205,-26.230530254448208,92.8498642613908,0,0pct
435.82173208052075,136.4359153550053,11.732585616330937,2.327688646130742,23.165894156368665,4.552860046586116,222.950871172296,2.1215178528132204,45.28816405931274,2.225171400455374,47.49882107327392,395.1562546480894,277.4086866368692,-28.287102796515622,92.66313448187456,16.153769824778205,-26.230530254448208,92.84986426139085,0,0pct
435.8217320805212,136.43591535500587,11.73258561633446,2.3276886477784373,23.165894156368665,4.552860049808937,222.95087117229647,2.121517854314985,45.288164059312685,2.2251714020305013,47.498821073274485,395.1562546480898,277.40868663686894,-28.28710279651554,92.66313448187462,16.153769824778205,-26.230530254448208,92.84986426139088,0,0pct
